AfterCount,CommentsCount,GeneralCount,GoodCount,ID,PoorCount,link,name,price,shop_name
50,30000,30,26000,6724543,10,//item.jd.com/6724543.html,"
              中粮 上质SUNSIDES 欧诺鲜进口全脂牛奶 200mL*24（德国原装进口）      ",59.00,中粮我买网京东自营旗舰店
300,130000,400,110000,5350698,200,//item.jd.com/5350698.html,"
              德国原装进口 多美鲜（SUKI）酸奶 200ml*12  整箱装（原味常温酸牛奶）      ",59.00,多美鲜京东自营旗舰店
300,100000,300,97000,798871,300,//item.jd.com/798871.html,"
              德国进口 甘蒂牧场（MUH）牧牌 全脂纯牛奶 1L*12盒 进口纯牛奶 整箱      ",129.00,甘蒂牧场京东自营旗舰店
2100,890000,2700,860000,1127466,1800,//item.jd.com/1127466.html,"
              澳大利亚 进口牛奶 德运（Devondale） 全脂牛奶 1L*10 整箱装      ",109.00,德运（Devondale）京东自营旗舰店
400,270000,300,250000,1546827,200,//item.jd.com/1546827.html,"
              新西兰原装进口儿童牛奶 安佳（Anchor）金装儿童牛奶 调制乳 190ml*27 整箱装      ",109.00,安佳牛奶京东自营旗舰店
1300,530000,1200,500000,3723872,800,//item.jd.com/3723872.html,"
              德国 进口牛奶 Arla爱氏晨曦 脱脂牛奶 200ml*24 整箱装 爱氏小粉奶      ",65.00,爱氏晨曦Arla京东自营旗舰店
4500,2210000,15000,2110000,1385736,9300,//item.jd.com/1385736.html,"
              德国DMK进口牛奶  欧德堡（Oldenburger）超高温处理全脂纯牛奶200ml*24盒      ",79.00,欧德堡牛奶京东自营旗舰店
1200,730000,2100,690000,896024,1200,//item.jd.com/896024.html,"
              德国原装进口牛奶 德亚（Weidendorf）全脂纯牛奶 200ml*30盒 整箱装（新老包装随机发货）      ",89.90,德亚牛奶京东自营旗舰店
1600,520000,1300,490000,1070841,1200,//item.jd.com/1070841.html,"
              新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶1L*12 整箱装      ",139.00,安佳牛奶京东自营旗舰店
2800,1030000,3700,990000,1857014,2100,//item.jd.com/1857014.html,"
              德国 进口牛奶 Arla爱氏晨曦 全脂牛奶 200ml*24 整箱装      ",65.00,爱氏晨曦Arla京东自营旗舰店
2700,1360000,4300,1300000,1070843,2900,//item.jd.com/1070843.html,"
              新西兰原装进口牛奶 安佳Anchor全脂牛奶UHT纯牛奶250ml*24 整箱装      ",89.00,安佳牛奶京东自营旗舰店
400,210000,300,190000,2627831,200,//item.jd.com/2627831.html,"
              新西兰进口牛奶 纽仕兰 3.5g蛋白质部分脱脂牛奶 250ml*24 整箱装纯牛奶      ",69.90,纽仕兰（Theland）京东自营旗舰店
